Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
PSYC357,PSYC,1,2,3,5,27,0.1111111111111111,0.18518518518518517,NO,NO,NO,NO,NO,3
PSYC363,PSYC,6,29,35,41,46,0.7608695652173914,0.8913043478260869,NO,NO,NO,NO,NO,4
PSYC373,PSYC,4,19,23,48,141,0.16312056737588654,0.3404255319148936,NO,NO,NO,NO,NO,3
PSYC403,PSYC,0,117,117,117,197,0.5939086294416244,0.5939086294416244,NO,NO,NO,NO,NO,3
PSYC406,PSYC,1,47,48,49,55,0.8727272727272727,0.8909090909090909,NO,NO,NO,NO,NO,4
PSYC421,PSYC,15,7,22,26,32,0.6875,0.8125,NO,NO,NO,NO,NO,3
PSYC423,PSYC,2,2,4,7,21,0.19047619047619047,0.3333333333333333,NO,NO,NO,NO,NO,3
PSYC433,PSYC,6,16,22,30,67,0.3283582089552239,0.44776119402985076,NO,NO,NO,NO,NO,3
PSYC465,PSYC,4,12,16,23,83,0.1927710843373494,0.27710843373493976,NO,NO,NO,NO,NO,3
PSYC475,PSYC,11,20,31,35,56,0.5535714285714286,0.625,NO,NO,NO,NO,NO,3
PSYC490,PSYC,15,4,19,19,21,0.9047619047619048,0.9047619047619048,NO,NO,NO,NO,NO,4
PSYC525,PSYC,0,16,16,21,22,0.7272727272727273,0.9545454545454546,NO,NO,NO,NO,NO,2
REHB330,REHB,7,21,28,50,81,0.345679012345679,0.6172839506172839,NO,NO,Yes,NO,NO,3
REHB402,REHB,0,8,8,8,29,0.27586206896551724,0.27586206896551724,NO,NO,NO,NO,NO,4
RHET233,RHET,3,28,31,42,64,0.484375,0.65625,Yes,NO,NO,NO,NO,3
RLST101,RLST,3,4,7,11,32,0.21875,0.34375,NO,NO,NO,NO,NO,3
RLST104,RLST,4,36,40,75,229,0.17467248908296942,0.32751091703056767,NO,NO,NO,NO,NO,3
